1629051732293,2021.08.15 21:22:12.293,ERROR,PRETTY_LOGGER,ModuleID(0x4000)----MRESULT FnDTDetectorCreate(MVoid**, DTdetectorDesc*, MVoid*)----ERR----FaceDT check version err, android component version[0], engine version[1]
1629051732293,2021.08.15 21:22:12.293,ERROR,PRETTY_LOGGER,ModuleID(0x4000)----void* FaceDTUtils_CreateFaceDTContext(MHandle, MChar*, MVoid*)----ERR----res = 8391170
1629051751525,2021.08.15 21:22:31.525,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----MDWord QVET_FaceDTExpressionGetVersion()----ERR----QVET_FaceDTExpressionGetVersion failed, err 0x8e6173
1629051751525,2021.08.15 21:22:31.525,ERROR,PRETTY_LOGGER,ModuleID(0x4000)----MRESULT FnDTDetectorCreate(MVoid**, DTdetectorDesc*, MVoid*)----ERR----FaceDT check version err, android component version[0], engine version[1]
1629051751525,2021.08.15 21:22:31.525,ERROR,PRETTY_LOGGER,ModuleID(0x4000)----void* FaceDTUtils_CreateFaceDTContext(MHandle, MChar*, MVoid*)----ERR----res = 8391170
1629051752203,2021.08.15 21:22:32.203,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----MDWord QVET_FaceDTExpressionGetVersion()----ERR----QVET_FaceDTExpressionGetVersion failed, err 0x8e6173
1629051752203,2021.08.15 21:22:32.203,ERROR,PRETTY_LOGGER,ModuleID(0x4000)----MRESULT FnDTDetectorCreate(MVoid**, DTdetectorDesc*, MVoid*)----ERR----FaceDT check version err, android component version[0], engine version[1]
1629051752203,2021.08.15 21:22:32.203,ERROR,PRETTY_LOGGER,ModuleID(0x4000)----void* FaceDTUtils_CreateFaceDTContext(MHandle, MChar*, MVoid*)----ERR----res = 8391170
1629051752797,2021.08.15 21:22:32.797,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----MDWord QVET_FaceDTExpressionGetVersion()----ERR----QVET_FaceDTExpressionGetVersion failed, err 0x8e6173
1629051752798,2021.08.15 21:22:32.798,ERROR,PRETTY_LOGGER,ModuleID(0x4000)----MRESULT FnDTDetectorCreate(MVoid**, DTdetectorDesc*, MVoid*)----ERR----FaceDT check version err, android component version[0], engine version[1]
1629051752798,2021.08.15 21:22:32.798,ERROR,PRETTY_LOGGER,ModuleID(0x4000)----void* FaceDTUtils_CreateFaceDTContext(MHandle, MChar*, MVoid*)----ERR----res = 8391170
1629051755448,2021.08.15 21:22:35.448,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetClipTimeRange, time_range(0,3000), res:0x00000000
1629051755448,2021.08.15 21:22:35.448,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetTranstionTimeRange, time_range(2000,1000), res:0x00000000
1629051807726,2021.08.15 21:23:27.726,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetClipTimeRange, time_range(0,3000), res:0x00000000
1629051807728,2021.08.15 21:23:27.728,ERROR,PRETTY_LOGGER,ModuleID(0x8000000000000000)----_QVMonitor_Default_Tag_----ERR----AMVES_StoryboardGetTranstionTimeRange, time_range(2000,1000), res:0x00000000
